"rangeS","SpeedX"
"(15.6,1e+03]",-20.1794274358259
"(15.6,1e+03]",-8.13271901758206
"(15.6,1e+03]",-1.43431312005005
"(15.6,1e+03]",3.03887197003805
"(15.6,1e+03]",11.8364973571679
"(15.6,1e+03]",2.02255840137614
"(15.6,1e+03]",9.47770418050194
"(15.6,1e+03]",8.37750434710212
"(15.6,1e+03]",15.13014201096
"(15.6,1e+03]",6.754980856062
"(15.6,1e+03]",17.627309545932
"(15.6,1e+03]",12.1749865921139
"(15.6,1e+03]",14.924336254086
"(15.6,1e+03]",28.301532409458
"(15.6,1e+03]",5.7646171910521
"(15.6,1e+03]",7.10770476748794
"(15.6,1e+03]",1.64806396331414
"(15.6,1e+03]",8.97895924537788
"(15.6,1e+03]",-7.08287735434794
"(15.6,1e+03]",-8.36279389229988
"(15.6,1e+03]",-9.71821748680806
"(15.6,1e+03]",-14.486421617034
"(15.6,1e+03]",-10.7456217631621
"(15.6,1e+03]",-18.0905191388581
"(15.6,1e+03]",-12.6144529594499
"(15.6,1e+03]",-9.280413517254
"(15.6,1e+03]",-1.68499593901802
"(15.6,1e+03]",-9.76670650583394
"(15.6,1e+03]",19.37123329965
"(15.6,1e+03]",13.5923943494701
"(15.6,1e+03]",23.7865551506821
"(15.6,1e+03]",15.5652410999099
"(7.7,12.5]",10.5894179073298
"(7.7,12.5]",-31.4923124200079
"(15.6,1e+03]",3.84854682274808
"(15.6,1e+03]",-3.62969819391001
"(15.6,1e+03]",-6.16636588437612
"(15.6,1e+03]",-3.1138149748318
"(15.6,1e+03]",-12.9221451354721
"(15.6,1e+03]",-39.076872221958
"(15.6,1e+03]",-6.67418150545188
"(7.7,12.5]",-20.9080575083521
"(7.7,12.5]",-20.8530540131159
"(7.7,12.5]",-6.46347680577
"(15.6,1e+03]",-3.88705476262203
"(15.6,1e+03]",27.8548616975399
"(7.7,12.5]",-14.394728158998
"(7.7,12.5]",-5.58846688892417
"(7.7,12.5]",7.78501954182
"(7.7,12.5]",6.53551980618612
"(7.7,12.5]",35.2258871936519
"(7.7,12.5]",21.7613823161219
"(7.7,12.5]",-7.91041195050594
"(7.7,12.5]",17.4679646517598
"(7.7,12.5]",21.2699292328201
