"angle","count"
-2.985,2720
-2.67,2700
-2.355,2908
-2.04,2999
-1.725,3139
-1.415,3303
-1.101,3586
-0.785,3707
-0.471,3943
-0.157,3994
0.157,3757
0.471,3884
0.785,3697
1.101,3467
1.415,3351
1.725,3181
2.04,2954
2.355,2754
2.67,2672
2.985,2593
