"Condition","rangeE","n_clusters","n_displacements","medianSX","meanE","CIL","CIM"
"0.5 uM Y27632","(0,10]",28,216,0.242559651543303,3.83704401623077,-0.160123599620095,0.848644994293224
"0.5 uM Y27632","(10,25]",29,164,1.39630209627001,16.8257685296454,0.861057584334096,2.05180915752008
"0.5 uM Y27632","(25,60]",11,69,-0.502016333700067,35.1457846877316,-1.0643555058421,0.261424070135945
"0.5 uM Y27632","(60,5e+03]",18,70,0.337479299643064,82.4495758822208,-0.878178593393979,1.49975637300008
"Control","(0,10]",11,82,0.888671488721694,3.76290925292219,-0.428945357157909,2.15215477733336
"Control","(10,25]",19,105,3.38289255546001,15.2453862497455,1.56312640552787,4.89210364047604
"Control","(25,60]",14,77,4.37652980243402,40.8264672640941,1.693390653804,6.61325272561794
"Control","(60,5e+03]",13,71,1.74071740066202,84.7571848618825,0.634113670620084,3.07310550218999
