"DistRadial","meanTracR","SE","meanE"
1.91121457602511,5.640176376594,1.1180137911439,1
2.39725951321176,6.18072392704655,0.963033318037103,1
3.47704194718154,7.29951425932275,1.06016512718266,1
4.48882112673294,7.88950502117663,1.09218487361481,1
5.49255392090126,8.30211166498357,1.10530914741797,1
6.5031207248959,8.31453280087955,1.04958721566873,1
7.40359334279584,8.20461784334261,0.992373344384521,1
8.44713846953424,8.1401929478214,0.947838695635641,1
9.35924811065522,8.18175432861755,0.962842119857434,1
10.3810450002873,8.12333846793648,0.936755868979035,1
11.4031669858449,7.66525751038713,0.881378815826557,1
12.4247511564123,7.23395640714295,0.800744276117127,1
13.4173438756684,6.72082487375838,0.801837736429638,1
14.3183394134238,6.42499822955465,0.866040450767309,1
1.8775636868,37.902404694261,2.63119631207299,6
2.35710582221841,40.3484758119623,2.23910480998874,6
3.43344740133239,43.4846498896311,2.22752161716898,6
4.43973138675443,43.7187813385787,2.26819739934097,6
5.40790902153068,41.814265957966,2.27698382329986,6
6.44312040922946,40.2146983991293,2.44240702208468,6
7.375812166499,37.2995326679722,2.46592086943768,6
8.42683561707234,34.5826456427446,2.52563646415599,6
9.35415450187894,31.3291321441688,2.42488286372628,6
10.3185105599179,28.2138284669253,2.50698353396031,6
11.3414532675997,24.8466016232403,2.66009571802404,6
12.4353689288525,21.0557674517153,2.74838432084925,6
13.3585554026895,19.56484721174,2.85378052718706,6
14.2237753045195,18.8218952600718,2.9258204407862,6
