"Time","Area","CIL","CIM"
-7.5,23.38038421875,17.1146345330729,28.8007742513021
-6,22.8315303125,17.1344461302083,29.4383591429687
-4.5,24.987389375,17.3676664822917,29.9835180226563
-3,25.4011225,17.3373565523437,30.0270860466146
-1.5,25.11780984375,17.9729766429688,30.7256915130208
0,24.68897234375,17.0483161604167,29.3594145338542
1.5,14.2077771875,13.2138553997396,24.2586509445313
3,11.39638296875,9.49348741927083,16.8854077742187
4.5,10.04697078125,8.30569860182292,13.0997388979167
6,9.190748125,8.04789843203125,12.0809283833333
7.5,9.0517984375,7.7216303328125,11.3061217411458
9,8.6536978125,7.46299044427083,11.1440546140625
10.5,8.77624921875,7.40572954739583,10.9944404984375
12,8.42296,7.26895947578125,10.7515115804688
13.5,8.333284375,7.30469434973958,10.9546422307292
15,8.144955,5.77947549652778,10.1301639652778
16.5,8.15137171875,5.77221377777778,9.89184843923611
18,8.05646765625,5.94617551215278,10.15770275
19.5,7.894306875,5.79958935720486,9.97838744184027
21,7.92918953125,7.98664791086648,11.4979975195313
22.5,8.277303125,7.1621373484375,10.4938879804687
24,8.60550640625,7.08303931901042,10.6467023135417
25.5,8.82708125,7.29417000677083,10.7716799260417
27,8.99249,7.558824446875,10.7918928981771
28.5,8.772895625,7.60667420026042,10.8415851916667
30,8.91018171875,7.596468140625,10.88067946875
31.5,8.46584375,7.58977644479167,10.8537207119792
33,8.9393078125,7.98192417682292,11.3085999677083
34.5,8.9126903125,8.05532382552083,11.4041298143229
36,9.71816015625,8.04340884140625,11.4797924786458
37.5,11.2490096875,8.31221557630208,11.6636247372396
39,10.39236453125,8.28834036536458,11.51775665625
40.5,10.11029296875,8.324218053125,11.7585492645833
42,10.46756953125,8.4594742984375,11.9036898533854
43.5,10.947080625,8.67138955989583,12.0379980703125
45,11.575549375,9.04703809479167,12.3536295559896
46.5,11.01544640625,9.24334176119792,12.5291591614583
48,11.00836953125,8.96181064661458,12.3093733851563
49.5,11.423026875,8.89408952994792,12.3844525153646
51,11.67618359375,7.76717904557292,12.7923518689236
52.5,11.17045109375,7.74905196180556,13.1672359722222
54,12.04568625,8.07918157899306,13.6222893771701
55.5,11.7767121875,8.27015876736111,13.6849284496528
57,12.14927796875,8.52810367274306,14.3398182664931
58.5,11.67000453125,8.3658446749132,14.9710048797743
60,12.91321078125,8.82137654644098,15.7409952860243
