"Time","Traction","CIL","CIM"
-7.5,45.34342692,40.0137912094555,55.6807860203355
-6,41.5829911,38.9110482838129,55.4874734129853
-4.5,41.60747465,37.835718435783,51.9332050169008
-3,39.5767275877506,37.2763912200149,51.5464578416293
-1.5,41.7771123435732,36.9671598969591,50.5882033562372
0,57.00512449,48.093301382416,64.3483065776854
1.5,66.80398679,53.6743327995101,76.198913671297
3,58.66148903,48.8877651338475,70.8901316510094
4.5,52.98747348,40.7812656992298,62.0735091507597
6,42.48357108,34.4484554384543,56.4947743674449
7.5,39.377643246903,33.386954994652,54.3236493799839
9,37.6382443487665,32.8835121284515,53.1205194204663
10.5,38.5439826295351,30.9395807995563,50.3977533804327
12,37.9335962441004,30.7978897225822,48.6455168285596
13.5,35.4578320790215,29.0674654377046,46.4836744169562
15,30.86651334,19.8893431961657,40.6452816835143
16.5,30.34737368,19.5550492847165,38.4291821980532
18,30.3875575,19.0966663468345,38.0563389880579
19.5,30.346069,17.2867771673796,35.6490142046317
21,31.0245244495668,21.2089235898596,46.171294470441
22.5,32.62531355,19.3584056996671,40.4106057794456
24,18.89152768,12.2095711989838,23.3540669026568
25.5,11.39142832,8.11436405350677,14.9917276729111
27,7.213731782,6.16998141082094,12.0340689350771
28.5,6.902145466,6.02294031963835,11.0438419727714
30,7.013072721,5.40263398162343,9.71952564759228
31.5,6.724304158,5.74293444304696,9.49323950445338
33,6.970518764,5.81689279153598,9.06203850399001
34.5,7.179299201,5.94408566318403,9.50782550466514
36,8.54112224395759,6.65477253337565,9.98373965454276
37.5,9.087039647,6.38402956858001,9.61652717935818
39,9.46510864793342,6.87721474197498,9.92886661146401
40.5,8.7128454033356,6.8063917241186,9.86291812516709
42,10.30822002,7.36650595985055,10.5387779648644
43.5,9.822929278,7.44668160938991,10.8051566590639
45,9.00318722479254,7.45939813838415,10.4830097429508
46.5,9.52521145689313,7.44872022443588,10.4470646077477
48,9.744781773,7.62243360888221,10.5933829326316
49.5,10.12672479,7.98602820428095,11.2441763293274
51,8.02430660778824,6.69710693694227,10.4495992156981
52.5,8.77258167990818,7.08035678692887,12.0844982369919
54,9.13375908198766,6.98490889704175,10.4339627526411
55.5,9.09830669758782,7.31025276178981,11.0561092741739
57,9.68575799826406,7.45391175106955,12.179398472276
58.5,9.87116439950358,8.04359157541006,11.522828860871
60,9.82510117809687,8.06486841866327,11.6433228841289
