"rangeE","n_clusters","n_displacements","medianSX","meanE","CIL","CIM"
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
"(0,20]",77,530,-0.273597383162405,7.35121534085684,-0.648773421166488,-0.0387710110938087
