Type,Stiffness,Fluo,x ,id
Shallow,2.507537,0.973019,2400,25
Shallow,3.379984,0.953063,2800,25
Shallow,0.112334,0.895656,800,26
Shallow,0.387705,0.933661,1200,26
Shallow,0.786228,0.973376,1600,26
Shallow,1.69174,0.989952,2000,26
Shallow,2.507537,1,2400,26
Shallow,3.379984,0.990977,2800,26
Shallow,0.112334,0.929806,800,27
Shallow,0.387705,0.95945,1200,27
Shallow,0.786228,0.972455,1600,27
Shallow,1.69174,0.982888,2000,27
Shallow,2.507537,1,2400,27
Shallow,3.379984,0.991104,2800,27
Shallow,0.112334,1,800,28
Shallow,0.387705,0.894553,1200,28
Shallow,0.786228,0.864813,1600,28
Shallow,1.69174,0.887215,2000,28
Shallow,2.507537,0.799149,2400,28
Shallow,3.379984,0.78061,2800,28
Shallow,0.112334,1,800,29
Shallow,0.387705,0.899435,1200,29
Shallow,0.786228,0.892378,1600,29
Shallow,1.69174,0.859209,2000,29
Shallow,2.507537,0.77664,2400,29
Shallow,3.379984,0.769936,2800,29
Shallow,0.112334,1,800,30
Shallow,0.387705,0.891505,1200,30
Shallow,0.786228,0.859743,1600,30
Shallow,1.69174,0.816559,2000,30
Shallow,2.507537,0.745181,2400,30
Shallow,3.379984,0.721627,2800,30
Shallow,0.112334,1,800,31
Shallow,0.387705,0.902542,1200,31
Shallow,0.786228,0.906356,1600,31
Shallow,1.69174,0.927966,2000,31
Shallow,2.507537,0.901271,2400,31
Shallow,3.379984,0.925,2800,31
Shallow,0.112334,0.984134,800,32
Shallow,0.387705,0.919347,1200,32
Shallow,0.786228,0.949317,1600,32
Shallow,1.69174,0.992066,2000,32
Shallow,2.507537,0.974879,2400,32
Shallow,3.379984,1,2800,32
Shallow,0.112334,0.959863,800,33
Shallow,0.387705,0.944065,1200,33
Shallow,0.786228,0.984629,1600,33
Shallow,1.69174,1,2000,33
Shallow,2.507537,0.951324,2400,33
Shallow,3.379984,0.876601,2800,33
