"Area","Kind","Condition"
9781.05882352941,"10ng_EGF+200","10ng_EGF"
33295.9294117647,"10ng_EGF+200","10ng_EGF"
4790.10169491525,"10ng_EGF+200","10ng_EGF"
12093.1666666667,"10ng_EGF+200","10ng_EGF"
4531.12820512821,"10ng_EGF+200","10ng_EGF"
50938.4857142857,"10ng_EGF+200","10ng_EGF"
11523.2857142857,"10ng_EGF+200","10ng_EGF"
42954.4235294118,"10ng_EGF+200","10ng_EGF"
18980.2352941176,"10ng_EGF+200","10ng_EGF"
5399.61176470588,"10ng_EGF+200","10ng_EGF"
2538.51764705882,"Control+0.2","Control"
12428.9882352941,"Control+0.2","Control"
2593.26315789474,"Control+0.2","Control"
13768.2470588235,"Control+0.2","Control"
12292.4941176471,"Control+0.2","Control"
8543.52941176471,"Control+0.2","Control"
1576.53571428571,"Control+6","Control"
2334.75,"Control+6","Control"
53821.0555555556,"Control+6","Control"
36187.1111111111,"Control+6","Control"
58994.05,"Control+6","Control"
36937.6212121212,"Control+6","Control"
116598.166666667,"Control+6","Control"
43465.9305555556,"Control+6","Control"
198260.882352941,"Control+24","Control"
13232.4,"Control+24","Control"
63351.4,"Control+24","Control"
8686.90476190476,"Control+24","Control"
93360.0377358491,"Control+24","Control"
604563.103448276,"Control+24","Control"
5642.90322580645,"Control+24","Control"
13587.7073170732,"Control+24","Control"
232030.260273973,"Control+24","Control"
13652.2,"Control+24","Control"
8729,"Control+24","Control"
8419.84210526316,"Control+24","Control"
23999.6951219512,"Control+0.2","Control"
22998.0588235294,"Control+24","Control"
79446.2142857143,"Control+24","Control"
181101.545454545,"Control+24","Control"
69891.9,"Control+24","Control"
167812.1,"Control+24","Control"
1550.703125,"Control+24","Control"
12515.75,"Control+24","Control"
352762.487804878,"Control+24","Control"
77369.5,"Control+24","Control"
35146.9649122807,"Control+24","Control"
3584.61538461538,"Control+24","Control"
487330.231707317,"Control+24","Control"
124190.15942029,"Control+200","Control"
74795.1,"Control+200","Control"
118431.80952381,"Control+200","Control"
287003.523809524,"Control+200","Control"
34778.5,"Control+200","Control"
59971.9375,"Control+200","Control"
95769.328125,"Control+200","Control"
151113,"Control+200","Control"
3008.14634146341,"Control+0.2","Control"
5437.70731707317,"Control+0.2","Control"
74828.2727272727,"Control+200","Control"
4519.39024390244,"Control+200","Control"
16080.2448979592,"Control+200","Control"
132386.98245614,"Control+200","Control"
133836.617021277,"Control+200","Control"
333031.12,"Control+200","Control"
37256.8918918919,"Control+200","Control"
6181.12195121951,"10ng_EGF+200","10ng_EGF"
8453.89130434783,"10ng_EGF+200","10ng_EGF"
5522.38461538462,"10ng_EGF+200","10ng_EGF"
8600.475,"10ng_EGF+200","10ng_EGF"
7469.2,"10ng_EGF+200","10ng_EGF"
19984.6707317073,"10ng_EGF+200","10ng_EGF"
4027.19512195122,"10ng_EGF+200","10ng_EGF"
63782.0461538462,"10ng_EGF+200","10ng_EGF"
7166.63414634146,"10ng_EGF+200","10ng_EGF"
7443.69512195122,"10ng_EGF+200","10ng_EGF"
6225.57317073171,"10ng_EGF+200","10ng_EGF"
33555.6585365854,"10ng_EGF+200","10ng_EGF"
28929.9268292683,"10ng_EGF+200","10ng_EGF"
12311.8658536585,"10ng_EGF+200","10ng_EGF"
8001.70212765957,"10ng_EGF+200","10ng_EGF"
7460.71621621622,"10ng_EGF+200","10ng_EGF"
10661.2962962963,"10ng_EGF+200","10ng_EGF"
6114.20731707317,"Control+0.2","Control"
5913.73170731707,"10ng_EGF+24","10ng_EGF"
10026.7073170732,"10ng_EGF+24","10ng_EGF"
7363.23170731707,"10ng_EGF+24","10ng_EGF"
6595.9512195122,"10ng_EGF+24","10ng_EGF"
10154.987804878,"10ng_EGF+24","10ng_EGF"
4771.48780487805,"10ng_EGF+6","10ng_EGF"
4418.58227848101,"10ng_EGF+6","10ng_EGF"
13290.1341463415,"Control+0.2","Control"
3344.125,"10ng_EGF+6","10ng_EGF"
4962.39743589744,"10ng_EGF+6","10ng_EGF"
3024.87804878049,"10ng_EGF+6","10ng_EGF"
6631.03658536585,"10ng_EGF+6","10ng_EGF"
5075.69512195122,"10ng_EGF+6","10ng_EGF"
3933.85365853659,"10ng_EGF+0.2","10ng_EGF"
4060.62195121951,"10ng_EGF+0.2","10ng_EGF"
4253.37804878049,"10ng_EGF+0.2","10ng_EGF"
6678.71951219512,"10ng_EGF+0.2","10ng_EGF"
5215.29268292683,"10ng_EGF+0.2","10ng_EGF"
29384.4512195122,"10ng_EGF+0.2","10ng_EGF"
3036.78048780488,"10ng_EGF+0.2","10ng_EGF"
2449.9512195122,"10ng_EGF+0.2","10ng_EGF"
3507.13414634146,"10ng_EGF+0.2","10ng_EGF"
7063.5,"10ng_EGF+0.2","10ng_EGF"
8739.27272727273,"10ng_EGF+0.2","10ng_EGF"
2460.90566037736,"Control+6","Control"
2759.3125,"Control+6","Control"
9286.68292682927,"10ng_EGF+0.2","10ng_EGF"
24176.4024390244,"10ng_EGF+0.2","10ng_EGF"
19870.9756097561,"10ng_EGF+0.2","10ng_EGF"
14776,"10ng_EGF+0.2","10ng_EGF"
