"Type","SpeedX"
"Gradient",18.7559633186641
"Gradient",8.25532300467594
"Gradient",18.5009697910621
"Gradient",6.750617358528
"Gradient",19.4031550037219
"Gradient",4.55862379458008
"Gradient",19.289429294208
"Gradient",3.55345697965204
"Gradient",17.983352433786
"Gradient",2.58630063754799
"Gradient",17.323328954112
"Gradient",17.690451730956
"Gradient",18.1986576100739
"Gradient",13.6195497686219
"Gradient",11.5174993959179
"Gradient",2.92749354166813
"Gradient",-0.26708842008602
"Gradient",-2.48788766500798
"Gradient",4.44853671561596
"Gradient",1.45905603491392
"Gradient",15.2400313346701
"Gradient",-2.007097961928
"Gradient",-4.54569960055201
"Gradient",4.43810242549803
"Gradient",28.0051855409821
"Gradient",-4.08977394847802
"Gradient",-5.2943622916021
"Gradient",5.6775838780261
"Gradient",27.7084629968581
"Gradient",-5.88856728217802
"Gradient",-4.59863782424395
"Gradient",6.89512337545794
"Gradient",21.67338600285
"Gradient",-5.17975394863206
"Gradient",-2.73536352241195
"Gradient",6.73388312257794
"Gradient",16.627144579458
"Gradient",-3.2730244189559
"Gradient",-2.06223069243006
"Gradient",6.774857800362
"Gradient",12.163263574398
"Gradient",-2.03018732435994
"Gradient",1.04211325367992
"Gradient",5.6599848789841
"Gradient",8.483025735306
"Gradient",-1.12332965853593
"Gradient",3.28398255814204
"Gradient",4.69000683878398
"Gradient",6.130960011396
"Gradient",-3.36525062024998
"Gradient",4.44831966515994
"Gradient",3.84444215830204
"Gradient",4.11037999209007
"Gradient",-4.34087365969799
"Gradient",3.72698948684387
"Gradient",1.82236782393611
"Gradient",40.6465956803281
"Gradient",6.82297560588594
"Gradient",3.00476655162006
"Gradient",5.07014240163594
"Gradient",1.31115621261001
"Gradient",-1.02593313512993
"Gradient",-0.737093489616018
"Gradient",13.325969163732
"Gradient",42.3431007918781
"Gradient",4.91871344922001
"Gradient",4.88803488440999
"Gradient",3.33846806906395
"Gradient",-0.570518947127993
"Gradient",-0.701903410925886
"Gradient",5.45721813932992
"Gradient",10.8349910021701
"Gradient",38.9673636528
"Gradient",3.17926656535205
"Gradient",4.72888844530798
"Gradient",4.35403733869802
"Gradient",-0.340746873384069
"Gradient",-0.707041087805964
"Gradient",9.44077330299
"Gradient",36.05359211763
"Gradient",4.06767939061801
"Gradient",4.28286889514993
"Gradient",3.75251005843807
"Gradient",1.34369906453398
"Gradient",-1.24248525883795
"Gradient",7.89138807980388
"Gradient",30.740334360348
"Gradient",3.18118997316601
"Gradient",4.24894827066592
"Gradient",4.23248143463407
"Gradient",-0.84972531716403
"Gradient",0.931619847971976
"Gradient",8.40069603475806
"Gradient",25.6975187636641
"Gradient",2.84525155247388
"Gradient",4.09164412601999
"Gradient",4.34443551855011
"Gradient",-0.240197343882073
"Gradient",-0.22647622720192
"Gradient",7.23372582604794
"Gradient",22.33834908006
"Gradient",1.02340387213208
"Gradient",3.71319487394999
"Gradient",4.91061573859797
"Gradient",-0.48525931655995
"Gradient",0.263714219633903
"Gradient",2.8138727097361
"Gradient",18.2034521138821
"Gradient",1.675619411868
"Gradient",4.4912825070599
"Gradient",3.754597111572
"Gradient",-0.0529932180179912
"Gradient",-0.406915997645911
"Gradient",4.21269703569601
"Gradient",15.550968258534
"Gradient",1.91605870488602
"Gradient",4.64346657921596
"Gradient",3.95329626271792
"Gradient",-0.687598447745994
"Gradient",0.00431774058611154
"Gradient",9.89852275861794
"Gradient",10.0992567071521
"Gradient",1.07633265131995
"Gradient",6.98046019545606
"Gradient",1.49635169250005
"Gradient",-0.390583639038005
"Gradient",-1.30463413732209
"Gradient",11.053451306046
"Gradient",1.10691955656602
"Gradient",4.68966702078605
"Gradient",3.36054480193811
"Gradient",5.12572733997599
"Gradient",7.18836162881406
"Gradient",1.39645415674204
"Gradient",3.72481024951799
"Gradient",0.190058121377933
"Gradient",0.820409993424072
"Gradient",1.42180316266208
"Gradient",4.02401788458005
"Gradient",-2.14680439452008
"Gradient",7.81428989844
"Gradient",6.45783999731406
"Gradient",2.79556679767798
"Gradient",2.74700266923605
"Gradient",6.55834685555394
"Gradient",-1.34389379359195
"Gradient",0.867595543385958
"Gradient",-7.02575218239
"Gradient",7.73998998044394
"Gradient",1.11702016372796
"Gradient",2.91652557982202
"Gradient",5.71755414312006
"Gradient",-3.15594372077403
"Gradient",-7.98973182184194
"Gradient",6.77807548716606
"Gradient",5.50770493901391
"Gradient",-1.28822242092001
"Gradient",5.71219245198599
"Gradient",-0.409915646183936
"Gradient",-6.51322688461206
"Gradient",7.447841587464
"Gradient",7.01349822161394
"Gradient",-5.49042787688991
"Gradient",7.94118504743394
"Gradient",-4.86944212508406
"Gradient",-1.067392714272
"Gradient",12.9036238772099
"Gradient",0.28768821085805
"Gradient",-5.36203882798204
"Gradient",9.881481526098
"Gradient",-1.83038142857395
"Gradient",-2.97943683042595
"Gradient",15.6600674891279
"Gradient",-1.20326127251392
"Gradient",0.536026436909969
"Gradient",3.23799247769993
"Gradient",-10.8770785154579
"Gradient",7.71449473955388
"Gradient",15.8916762273241
"Gradient",-3.01088332930799
"Gradient",1.88776599018588
"Gradient",1.58071652048402
"Gradient",-10.7948150904539
"Gradient",7.29479532898194
"Gradient",13.0309891195379
"Gradient",-3.05642241870005
"Gradient",3.296530860138
"Gradient",0.911224808742102
"Gradient",-8.25972297935406
"Gradient",-5.36509209296996
"Gradient",12.005694726762
"Gradient",-1.82627515348204
"Gradient",1.43786310148207
"Gradient",-0.299685897810059
"Gradient",-0.672455276777916
"Gradient",-1.001791351674
"Gradient",1.41731007040803
