"DistRadial","meanTracZ","SE","meanE"
1.91121457602511,6.899955312915,1.06828352012051,1
2.39725951321176,7.41794169137202,0.857914101746243,1
3.47704194718154,8.19079702344373,0.853467073711204,1
4.48882112673294,6.88311442873274,0.757364785429563,1
5.49255392090126,4.92122757277224,0.795436720829571,1
6.5031207248959,1.74784340636776,0.921022202417794,1
7.40359334279584,-0.395462976636952,1.05959661051281,1
8.44713846953424,-2.70062683271421,1.18977060757419,1
9.35924811065522,-3.80784990742421,1.29676141349257,1
10.3810450002873,-5.12673213757676,1.35623063657189,1
11.4031669858449,-6.92891656358636,1.43741823730395,1
12.4247511564123,-8.32464622290476,1.44155374482818,1
13.4173438756684,-10.3032613872396,1.52170512157569,1
14.3183394134238,-11.0971086006438,1.58653543898429,1
1.8775636868,21.9343382662021,1.86569873841525,6
2.35710582221841,19.8819575391412,1.8734303709243,6
3.43344740133239,12.1089183282522,2.42187957173499,6
4.43973138675443,2.82327726832043,2.79561497669051,6
5.40790902153068,-7.62834207285161,2.53499715971268,6
6.44312040922946,-17.7497877914979,2.61212236642042,6
7.375812166499,-26.6407470175238,2.63045512915029,6
8.42683561707234,-34.3219204717559,2.86552941380634,6
9.35415450187894,-39.5689365736549,3.48528758488712,6
10.3185105599179,-41.1603340968546,3.70580598012175,6
11.3414532675997,-41.9101440342069,3.83880652874064,6
12.4353689288525,-42.4600562853078,3.73976550015192,6
13.3585554026895,-42.9195639726643,3.71494071795222,6
14.2237753045195,-43.423210189515,3.61677730955563,6
