"rangeE","LenBin","n_clusters","n_displacements","medianSX","meanE","CIL","CIM"
"(0,20]","<60",72,529,1.30555561227593,7.09119772460371,0.452376122298028,2.13631973311682
"(0,20]",">60",90,584,2.02657129982489,9.45162912234184,1.07969223857548,2.99277963462298
"(20,40]","<60",30,136,1.70550637988132,28.2496975177235,0.1921246841639,3.96478478716795
"(20,40]",">60",86,549,3.86374277742002,29.6869384295744,2.91877312156798,4.69334510500193
"(40,80]","<60",37,205,0.532196177538071,58.3298698652019,-1.03420558067419,2.85799881006592
"(40,80]",">60",106,629,4.04490534041397,59.9990513893065,3.00814672403412,5.29796020265412
"(80,500]","<60",53,248,-0.314491175741978,146.83633419531,-1.64684639568913,1.20255209133611
"(80,500]",">60",186,1103,0.73072110423591,149.155141380047,0.0528529138320664,1.55120692564796
